Package Name                                                                                           | Version          | ID  | Bundle Name
org.apache.xml.serialize                                                                               | 2.11.0           | 0   | org.apache.felix.framework
org.apache.xmlbeans.impl.common                                                                        | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.config                                                                        | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.inst2xsd.util                                                                 | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.inst2xsd                                                                      | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.annotation                                                                | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.internal.classrefs                                                        | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.internal.elements                                                         | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.internal.javadoc                                                          | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.internal.parser                                                           | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.internal.reflect                                                          | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.internal                                                                  | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.mutable                                                                   | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.provider                                                                  | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.visitor                                                                   | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam.xml                                                                       | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.jam                                                                           | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.piccolo.io                                                                    | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.piccolo.util                                                                  | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.piccolo.xml                                                                   | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.regex                                                                         | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.richParser                                                                    | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
